T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
840,United States of America,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.21,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.89,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),722,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,510",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,398",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,390",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"12,747",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,670",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"20,639",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"27,166",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
97,European Union (EU),2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"37,680",Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
